2023-03-11 11:22:03 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-03-11 11:22:03 [main] INFO  sk.stasko.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-03-11 11:22:04 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=899261b8-4cfd-35eb-a9bb-3bd9fed2e443
2023-03-11 11:22:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-03-11 11:22:04 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-03-11 11:22:04 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-03-11 11:22:04 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-11 11:22:04 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-03-11 11:22:04 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 658 ms
2023-03-11 11:22:04 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5503de1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@32faa16c, org.springframework.security.web.context.SecurityContextPersistenceFilter@71b6172c, org.springframework.security.web.header.HeaderWriterFilter@7b5b5bfe, org.springframework.security.web.authentication.logout.LogoutFilter@220c9a63, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4fb56bea, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5e5beb8a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@343fddd9, org.springframework.security.web.session.SessionManagementFilter@3453acd2, org.springframework.security.web.access.ExceptionTranslationFilter@4dc7cd1c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2fd72332]
2023-03-11 11:22:07 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-03-11 11:22:07 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-03-11 11:22:07 [main] INFO  sk.stasko.config.server.ConfigServer - Started ConfigServer in 4.025 seconds (JVM running for 4.378)
